,dqn_sum,dqn_pid_0,dqn_pid_1
424000,1.756,1.0,0.756
425000,1.726,1.0,0.726
426000,1.796,1.0,0.796
427000,1.784,1.0,0.784
428000,1.768,1.0,0.768
429000,1.752,1.0,0.752
430000,1.702,1.0,0.702
431000,1.778,1.0,0.778
432000,1.766,1.0,0.766
433000,1.742,1.0,0.742
434000,1.754,1.0,0.754
435000,1.738,1.0,0.738
436000,1.766,1.0,0.766
437000,1.754,1.0,0.754
438000,1.762,1.0,0.762
439000,1.774,1.0,0.774
440000,1.73,1.0,0.73
441000,1.772,1.0,0.772
442000,1.744,1.0,0.744
443000,1.738,1.0,0.738
444000,0.0,1.0,-1.0
445000,1.696,1.0,0.696
446000,1.73,1.0,0.73
447000,1.728,1.0,0.728
448000,1.728,1.0,0.728
449000,1.698,1.0,0.698
450000,1.752,1.0,0.752
451000,1.744,1.0,0.744
452000,1.734,1.0,0.734
453000,1.76,1.0,0.76
454000,1.75,1.0,0.75
455000,1.746,1.0,0.746
456000,1.79,1.0,0.79
457000,1.768,1.0,0.768
458000,1.756,1.0,0.756
459000,1.756,1.0,0.756
460000,1.726,1.0,0.726
461000,0.0,1.0,-1.0
462000,1.72,1.0,0.72
463000,1.726,1.0,0.726
464000,0.0,1.0,-1.0
465000,1.678,1.0,0.678
466000,1.76,1.0,0.76
467000,1.744,1.0,0.744
468000,1.746,1.0,0.746
469000,1.786,1.0,0.786
470000,1.728,1.0,0.728
471000,1.756,1.0,0.756
472000,1.74,1.0,0.74
473000,1.74,1.0,0.74
474000,1.742,1.0,0.742
475000,0.0,1.0,-1.0
476000,1.742,1.0,0.742
477000,1.694,1.0,0.694
478000,1.72,1.0,0.72
479000,1.742,1.0,0.742
480000,1.754,1.0,0.754
481000,1.738,1.0,0.738
482000,1.73,1.0,0.73
483000,1.726,1.0,0.726
484000,1.76,1.0,0.76
485000,1.774,1.0,0.774
486000,1.738,1.0,0.738
487000,1.7,1.0,0.7
488000,1.738,1.0,0.738
489000,1.74,1.0,0.74
490000,1.72,1.0,0.72
491000,1.744,1.0,0.744
492000,1.746,1.0,0.746
493000,1.738,1.0,0.738
494000,1.734,1.0,0.734
495000,2.0,1.0,1.0
496000,1.752,1.0,0.752
497000,1.75,1.0,0.75
498000,1.756,1.0,0.756
499000,1.726,1.0,0.726
500000,1.752,1.0,0.752
501000,1.708,1.0,0.708
502000,0.0,1.0,-1.0
