,dqn_sum,dqn_pid_0,dqn_pid_1
313000,1.502,0.923,0.579
314000,1.423,0.912,0.511
315000,-0.07599999999999996,0.924,-1.0
316000,1.424,0.939,0.485
317000,1.3719999999999999,0.9,0.472
318000,1.441,0.917,0.524
319000,1.443,0.932,0.511
320000,1.448,0.928,0.52
321000,1.387,0.928,0.459
322000,1.429,0.867,0.562
323000,1.483,0.942,0.541
324000,1.3599999999999999,0.888,0.472
325000,1.403,0.923,0.48
326000,1.433,0.922,0.511
327000,1.4489999999999998,0.941,0.508
328000,1.473,0.935,0.538
329000,0.462,0.0,0.462
330000,1.538,0.928,0.61
331000,1.4,0.906,0.494
332000,1.486,0.944,0.542
333000,1.38,0.938,0.442
334000,1.468,0.936,0.532
335000,-0.05600000000000005,0.944,-1.0
336000,1.4380000000000002,0.92,0.518
337000,1.408,0.91,0.498
338000,1.48,0.925,0.555
339000,1.42,0.922,0.498
340000,1.451,0.909,0.542
341000,1.425,0.91,0.515
342000,1.476,0.927,0.549
343000,1.431,0.935,0.496
344000,1.369,0.9,0.469
345000,1.435,0.937,0.498
346000,1.408,0.93,0.478
347000,-0.09099999999999997,0.909,-1.0
348000,1.897,0.897,1.0
349000,0.422,0.0,0.422
350000,1.428,0.923,0.505
351000,-0.061000000000000054,0.939,-1.0
352000,1.4420000000000002,0.907,0.535
353000,1.412,0.915,0.497
354000,1.3940000000000001,0.899,0.495
355000,-0.09999999999999998,0.9,-1.0
356000,1.435,0.928,0.507
357000,-0.495,-1.0,0.505
358000,1.4540000000000002,0.922,0.532
359000,1.435,0.928,0.507
360000,1.4260000000000002,0.924,0.502
361000,1.385,0.887,0.498
362000,1.4180000000000001,0.931,0.487
363000,1.428,0.897,0.531
364000,1.4209999999999998,0.945,0.476
365000,-0.10299999999999998,0.897,-1.0
366000,-0.07699999999999996,0.923,-1.0
367000,1.278,0.892,0.386
368000,1.425,0.917,0.508
369000,1.4500000000000002,0.922,0.528
370000,1.416,0.923,0.493
371000,1.412,0.912,0.5
372000,1.409,0.909,0.5
373000,1.377,0.877,0.5
374000,1.4580000000000002,0.937,0.521
375000,-0.08399999999999996,0.916,-1.0
376000,1.361,0.884,0.477
377000,1.4380000000000002,0.901,0.537
378000,1.395,0.922,0.473
379000,1.448,0.942,0.506
380000,1.459,0.936,0.523
381000,1.468,0.925,0.543
382000,1.408,0.925,0.483
383000,1.422,0.942,0.48
384000,1.4060000000000001,0.905,0.501
385000,1.335,0.831,0.504
386000,1.495,1.0,0.495
387000,-0.06799999999999995,0.932,-1.0
388000,-0.08399999999999996,0.916,-1.0
389000,1.417,0.931,0.486
390000,1.4180000000000001,0.919,0.499
391000,1.468,0.936,0.532
392000,1.432,0.936,0.496
393000,1.3780000000000001,0.918,0.46
394000,1.3900000000000001,0.925,0.465
395000,1.34,0.888,0.452
396000,-0.07399999999999995,0.926,-1.0
397000,1.46,0.91,0.55
398000,1.449,0.919,0.53
399000,1.399,0.897,0.502
400000,1.385,0.931,0.454
401000,1.471,0.938,0.533
402000,-0.07699999999999996,0.923,-1.0
403000,1.393,0.927,0.466
404000,1.391,0.934,0.457
405000,1.4260000000000002,0.905,0.521
406000,1.4060000000000001,0.937,0.469
407000,1.3599999999999999,0.891,0.469
408000,1.4180000000000001,0.924,0.494
409000,1.387,0.921,0.466
410000,1.317,0.859,0.458
411000,1.391,0.948,0.443
412000,1.338,0.885,0.453
413000,1.424,0.937,0.487
414000,-0.09999999999999998,0.9,-1.0
415000,1.3860000000000001,0.929,0.457
416000,1.521,1.0,0.521
417000,1.353,0.925,0.428
418000,1.3800000000000001,0.926,0.454
419000,1.452,0.939,0.513
420000,1.4180000000000001,0.905,0.513
421000,1.421,0.919,0.502
422000,1.3780000000000001,0.912,0.466
423000,1.399,0.901,0.498
424000,1.411,0.919,0.492
425000,1.442,0.938,0.504
426000,1.4020000000000001,0.877,0.525
427000,1.318,0.819,0.499
428000,1.452,0.913,0.539
429000,1.505,1.0,0.505
430000,-0.06699999999999995,0.933,-1.0
431000,0.472,0.0,0.472
432000,1.427,0.921,0.506
433000,1.413,0.911,0.502
434000,1.427,0.926,0.501
435000,1.4340000000000002,0.931,0.503
436000,1.457,0.924,0.533
437000,1.438,0.942,0.496
438000,1.5070000000000001,1.0,0.507
439000,1.351,0.898,0.453
440000,1.436,0.937,0.499
441000,1.409,0.905,0.504
442000,1.4740000000000002,0.936,0.538
443000,1.47,0.94,0.53
444000,1.4569999999999999,0.939,0.518
445000,1.323,0.888,0.435
446000,1.428,0.932,0.496
447000,1.355,0.892,0.463
448000,1.3920000000000001,0.926,0.466
449000,1.448,0.889,0.559
450000,1.456,0.9,0.556
451000,1.3940000000000001,0.89,0.504
452000,1.408,0.935,0.473
453000,1.319,0.937,0.382
454000,1.3940000000000001,0.928,0.466
455000,1.466,0.942,0.524
456000,1.425,0.909,0.516
457000,1.471,0.941,0.53
458000,1.464,0.923,0.541
459000,1.403,0.925,0.478
460000,1.425,0.931,0.494
461000,1.343,0.927,0.416
462000,1.4180000000000001,0.929,0.489
463000,1.413,0.93,0.483
464000,1.3599999999999999,0.889,0.471
465000,1.46,0.932,0.528
466000,-0.515,-1.0,0.485
467000,1.425,0.921,0.504
468000,1.309,0.856,0.453
469000,1.429,0.915,0.514
470000,1.407,0.923,0.484
471000,1.451,0.933,0.518
472000,1.431,0.942,0.489
473000,1.415,0.903,0.512
474000,1.395,0.934,0.461
475000,1.4220000000000002,0.923,0.499
476000,1.468,0.938,0.53
477000,1.412,0.924,0.488
478000,1.392,0.907,0.485
479000,1.4180000000000001,0.933,0.485
480000,1.447,0.934,0.513
481000,-0.11499999999999999,0.885,-1.0
482000,-0.07499999999999996,0.925,-1.0
483000,1.403,0.935,0.468
484000,1.444,0.936,0.508
485000,1.419,0.94,0.479
486000,1.421,0.937,0.484
487000,1.3940000000000001,0.911,0.483
488000,1.211,0.903,0.308
489000,1.437,0.933,0.504
490000,1.5070000000000001,1.0,0.507
491000,0.0,1.0,-1.0
492000,-0.51,-1.0,0.49
493000,-0.06699999999999995,0.933,-1.0
494000,1.306,0.88,0.426
495000,1.4420000000000002,0.929,0.513
