,ppo_lr_0.00025_alpha_0.05,ppo_lr_0.0001_alpha_0.0625,ppo_lr_0.0001_alpha_0.03125,ppo_lr_0.0001_alpha_0.125,nfsp,ppo_lr_0.0001_alpha_0.05,ppo_lr_0.00025_alpha_0.0625,ppo_lr_0.00025_alpha_0.125,ppo_lr_0.0001_alpha_0.015625,ppo_lr_0.00025_alpha_0.015625,ppo_lr_0.00025_alpha_0.03125
4600000,0.439,0.25099999999999995,0.46399999999999997,0.20400000000000001,1.1480000000000001,0.534,0.475,0.28300000000000003,0.698,0.48500000000000004,0.269
4700000,0.35200000000000004,0.25999999999999995,0.551,0.639,1.189,0.43500000000000005,0.42000000000000004,0.17900000000000005,0.6060000000000001,0.48299999999999993,0.23200000000000004
4800000,0.4729999999999999,0.6120000000000001,0.625,0.6779999999999999,1.033,0.416,0.4720000000000001,0.187,0.5449999999999999,0.45599999999999996,0.244
4900000,0.328,0.46900000000000003,0.512,0.6479999999999999,0.982,0.406,0.5029999999999999,0.422,0.541,0.428,0.30200000000000005
5000000,0.569,0.10000000000000003,0.467,0.579,1.0590000000000002,0.359,0.496,0.353,0.5170000000000001,0.40900000000000003,0.22699999999999998
5100000,0.41300000000000003,0.35000000000000003,0.595,0.29700000000000004,0.9610000000000001,0.36200000000000004,0.44300000000000006,0.33,0.40199999999999997,0.5930000000000001,0.14699999999999996
5200000,0.274,0.479,0.601,0.35900000000000004,1.054,0.544,0.49499999999999994,0.317,0.48200000000000004,0.45200000000000007,0.28
5300000,0.542,0.261,0.5589999999999999,0.428,1.029,0.457,0.45399999999999996,0.49699999999999994,0.441,0.34500000000000003,0.21500000000000002
5400000,0.469,0.12600000000000006,0.5170000000000001,0.276,0.984,0.463,0.3559999999999999,0.533,0.346,0.541,0.23300000000000004
5500000,0.39799999999999996,0.040000000000000036,0.551,0.381,1.02,0.44199999999999995,0.434,0.25100000000000006,0.49700000000000005,0.23800000000000004,0.245
5600000,0.23500000000000004,0.429,0.516,0.383,1.0190000000000001,0.447,0.43000000000000005,0.23899999999999993,0.48899999999999993,0.39699999999999996,0.257
5700000,0.22000000000000003,0.44599999999999995,0.5169999999999999,0.493,0.976,0.508,0.362,0.477,0.572,0.38499999999999995,0.30100000000000005
5800000,0.203,0.274,0.5730000000000001,0.354,0.967,0.39799999999999996,0.31300000000000006,0.398,0.645,0.49200000000000005,0.29800000000000004
5900000,0.6619999999999999,0.498,0.487,0.41900000000000004,1.042,0.512,0.28400000000000003,0.452,0.49699999999999994,0.46199999999999997,0.25100000000000006
6000000,0.489,0.22099999999999997,0.455,0.533,0.992,0.529,0.20299999999999996,0.335,0.527,0.5579999999999999,0.2690000000000001
6100000,0.365,0.24999999999999994,0.447,0.45899999999999996,0.996,0.47200000000000003,0.4590000000000001,0.38299999999999995,0.512,0.372,0.31200000000000006
6200000,0.45199999999999996,0.271,0.33099999999999996,-0.05199999999999999,0.9770000000000001,0.579,0.47000000000000003,0.41899999999999993,0.527,0.543,0.28
6300000,0.282,0.473,0.493,0.353,1.012,0.528,0.29800000000000004,0.127,0.6519999999999999,0.637,0.26099999999999995
6400000,0.20799999999999996,0.32900000000000007,0.47500000000000003,0.374,0.97,0.41200000000000003,0.592,0.21200000000000002,0.522,0.5660000000000001,0.32099999999999995
6500000,0.5900000000000001,0.253,0.492,0.562,0.994,0.5509999999999999,0.355,0.16200000000000003,0.5509999999999999,0.51,0.37
6600000,0.6930000000000001,0.361,0.548,0.49700000000000005,1.012,0.506,0.45899999999999996,0.24800000000000005,0.46799999999999997,0.49700000000000005,0.37600000000000006
6700000,0.11099999999999999,0.452,0.5539999999999999,0.493,1.036,0.458,0.182,0.38499999999999995,0.375,0.40700000000000003,0.717
6800000,0.27199999999999996,0.326,0.561,0.43300000000000005,0.9590000000000001,0.5269999999999999,0.201,0.30299999999999994,0.55,0.447,0.46299999999999997
